Usage_time,Battery,Temp1,Temp2,Temp3,LFoot_x,LFoot_y,LFoot_z,RFoot_x,RFoot_y,RFoot_z,LFootCOP_x,LFootCOP_y,RFootCOP_x,RFootCOP_y,LFootCOP_value,LFootCOP_vector_x,LFootCOP_vector_y,RFootCOP_value,RFootCOP_vector_x,RFootCOP_vector_y,LFoot_time_travel,RFoot_time_travel,LH_Abd_Temp,LH_Rot_Temp,LH_Flex_Temp,LK_Temp,LA_Lat_Temp,LA_Med_Temp,RH_Abd_Temp,RH_Rot_Temp,RH_Flex_Temp,RK_Temp,RA_Lat_Temp,RA_Med_Temp,LH_Abd_Amp,LH_Rot_Amp,LH_Flex_Amp,LK_Amp,LA_Lat_Amp,LA_Med_Amp,RH_Abd_Amp,RH_Rot_Amp,RH_Flex_Amp,RK_Amp,RA_Lat_Amp,RA_Med_Amp
00:00:12:759,93,73.0,54.0,28.0,24500.0,0.0,0.0,24400.0,0.0,0.0,-19.0,-12.0,132.0,63.0,0.0,30.0,30.0,22.0,30.0,-30.0,3.0,3.0,30.0,73.0,99.0,72.0,19.0,82.0,1.0,89.0,42.0,88.0,11.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:12:809,93,73.0,54.0,28.0,24500.0,0.0,0.0,24600.0,0.0,0.0,18.0,-60.0,132.0,63.0,17.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,30.0,73.0,99.0,72.0,19.0,82.0,1.0,89.0,42.0,88.0,11.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:12:861,93,73.0,54.0,28.0,24700.0,0.0,0.0,24600.0,0.0,0.0,18.0,-60.0,111.0,54.0,0.0,30.0,30.0,24.0,30.0,-30.0,3.0,3.0,30.0,73.0,99.0,72.0,19.0,82.0,1.0,89.0,42.0,88.0,11.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:12:914,93,73.0,54.0,28.0,24700.0,0.0,0.0,24800.0,0.0,0.0,-34.0,-33.0,111.0,54.0,23.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,30.0,73.0,99.0,72.0,19.0,82.0,1.0,89.0,42.0,88.0,11.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:12:965,93,73.0,54.0,28.0,24900.0,0.0,0.0,24800.0,0.0,0.0,-34.0,-33.0,143.0,5.0,0.0,30.0,30.0,10.0,30.0,-30.0,3.0,3.0,30.0,73.0,99.0,72.0,19.0,82.0,1.0,89.0,42.0,88.0,11.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:017,93,73.0,54.0,28.0,24900.0,0.0,0.0,25000.0,0.0,0.0,-10.0,65.0,143.0,5.0,19.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,30.0,73.0,99.0,72.0,19.0,82.0,1.0,89.0,42.0,88.0,11.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:058,93,28.0,27.0,91.0,24900.0,0.0,0.0,25000.0,0.0,0.0,-10.0,65.0,143.0,5.0,19.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:073,93,28.0,27.0,91.0,25100.0,0.0,0.0,25000.0,0.0,0.0,-10.0,65.0,201.0,-10.0,0.0,30.0,30.0,23.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:121,93,28.0,27.0,91.0,25100.0,0.0,0.0,25200.0,0.0,0.0,55.0,28.0,201.0,-10.0,13.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
00:00:13:173,93,28.0,27.0,91.0,25300.0,0.0,0.0,25200.0,0.0,0.0,55.0,28.0,12.0,71.0,0.0,30.0,30.0,11.0,30.0,-30.0,3.0,3.0,94.0,0.0,59.0,39.0,95.0,4.0,34.0,37.0,93.0,65.0,2.0,82.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
